Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
94,APRIL A. VERLATO,2024,federal:house,CA,28,REPUBLICAN,unknown,Lost,unknown,0.350713143,False,https://verlatoforcongress.com,https://www.facebook.com/profile.php?id=61551609844120,https://x.com/AprilVerlato,https://www.instagram.com/AprilVerlato,https://www.lawofficesofaprilaverlato.com/about-april-verlato/,https://www.facebook.com/dida.ngambarga,https://www.linkedin.com/in/april-verlato-07a25588/
95,LUZ MARIA RIVAS,2024,federal:house,CA,29,DEMOCRAT,unknown,Won,unknown,0.697767138,False,https://www.luzforcongress.com,https://www.facebook.com/LuzforCongress,https://x.com/LuzRivas,https://www.instagram.com/Luzmrivas,,https://www.facebook.com/luzrivas,https://www.linkedin.com/in/luzrivas/
96,BENITO BENNY BERNAL,2024,federal:house,CA,29,REPUBLICAN,unknown,Lost,unknown,0.302232862,False,https://bernalforcongress.com,https://www.facebook.com/bernalforcongress/,https://x.com/Bernal4congres,https://www.instagram.com/bernalforcongress/,http://www.bennybernalforcongress.com/home.html,https://www.facebook.com/bernalforcongress,https://www.linkedin.com/in/benny-bernal-21aa0370/
97,LAURA FRIEDMAN,2024,federal:house,CA,30,DEMOCRAT,unknown,Won,unknown,0.683760135,True,http://lauraforcongress.org,,,,,,
98,ALEX BALEKIAN,2024,federal:house,CA,30,REPUBLICAN,unknown,Lost,unknown,0.316239865,True,https://www.alexforca30.com,https://www.facebook.com/alexforca30,https://x.com/AlexBalekian,https://www.instagram.com/alexforca30,,https://www.facebook.com/profile.php?id=100093267888010,https://www.linkedin.com/in/alex-balekian-1b6971174/
99,GIL CISNEROS,2024,federal:house,CA,31,DEMOCRAT,unknown,Won,unknown,0.597275268,True,http://gilonthehill.com,,,,,,
100,DANIEL JOSE BOCIC MARTINEZ,2024,federal:house,CA,31,REPUBLICAN,unknown,Lost,unknown,0.402724732,False,https://vote-usa.org/Intro.aspx?State=CA&Id=CAMartinezDaniel,,,,,,
101,BRAD SHERMAN,2024,federal:house,CA,32,DEMOCRAT,unknown,Won,unknown,0.662015576,True,http://bradsherman.com,,,,,,
102,LARRY THOMPSON,2024,federal:house,CA,32,REPUBLICAN,unknown,Lost,unknown,0.337984424,True,http://www.larrythompsonorg.com,,,,,,
103,PETE AGUILAR,2024,federal:house,CA,33,DEMOCRAT,unknown,Won,unknown,0.588134176,True,http://peteaguilar.com,,,,,,
104,TOM HERMAN,2024,federal:house,CA,33,REPUBLICAN,unknown,Lost,unknown,0.411865824,True,https://tomhermancongress.com,https://www.facebook.com/profile.php?id=61556529774627,,,,,
105,JIMMY GOMEZ,2024,federal:house,CA,34,DEMOCRAT,unknown,Won,unknown,0.556421384,True,http://jimmygomezforcongress.com,,,,,,
106,DAVID KIM,2024,federal:house,CA,34,DEMOCRAT,unknown,Lost,unknown,0.443578616,False,https://www.davidkimforca.com,https://www.facebook.com/DavidKimForCA,https://x.com/DavidKimForCA,https://www.instagram.com/DavidKimForCA,,https://www.facebook.com/DK1984,https://www.linkedin.com/in/davidyunghokim/
107,NORMA J. TORRES,2024,federal:house,CA,35,DEMOCRAT,unknown,Won,unknown,0.584072274,False,https://www.normatorres.com/,,,,,,
108,MIKE CARGILE,2024,federal:house,CA,35,REPUBLICAN,unknown,Lost,unknown,0.415927726,True,https://www.cargileforcongress.com,https://www.facebook.com/CargileForCongress,https://x.com/CargileForCA35,https://www.instagram.com/cargileforcongress,,https://www.facebook.com/mike.cargile.5,https://www.linkedin.com/in/cargileforcongress/
109,TED LIEU,2024,federal:house,CA,36,DEMOCRAT,unknown,Won,unknown,0.687181378,True,http://lieuforcongress.co,,,,,,
110,MELISSA TOOMIM,2024,federal:house,CA,36,REPUBLICAN,unknown,Lost,unknown,0.312818622,True,https://toomim4congress.com,,https://x.com/MToomim,https://www.instagram.com/toomim4congress/,,https://www.facebook.com/melissa.roddy.50/,https://www.linkedin.com/in/melissa-t-6984a34/
111,SYDNEY KAMLAGER-DOVE,2024,federal:house,CA,37,DEMOCRAT,unknown,Won,unknown,0.78297382,True,http://sydneykamlager.com,,,,,,
